key,value,timestamp,sentence
A - Very Negative,0.0897,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
A - Negative,0.5704,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
C - Neutral,0.2992,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
D - Positive,0.0283,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
E - Very Positive,0.0124,"00:01:04,565 --> 00:01:06,983","CONTROL [OVER RADIO]: Please verify that the P1 ATA removal..."
A - Very Negative,0.0326,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
A - Negative,0.1365,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
C - Neutral,0.2982,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
D - Positive,0.4581,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
E - Very Positive,0.0745,"00:01:07,235 --> 00:01:09,945","...on replacement cap part 1 and 2 are complete."
A - Very Negative,0.1697,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
A - Negative,0.6197,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
C - Neutral,0.1623,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
D - Positive,0.0312,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
E - Very Positive,0.0171,"00:01:10,780 --> 00:01:14,574","WOMAN [OVER RADIO]: DMA M1, M2, M3 and M4 are complete."
A - Very Negative,0.0425,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
A - Negative,0.2081,"00:01:14,825 --> 00:01:17,327","CONTROL: Okay."
